City,Year,Visits (Millions),City,Compound Annual Growth Rate (2011-2019),,,
Bangkok,2011,14.89,Bangkok,6.60%,,,
Bangkok,2012,16.91,Bali,10%,,,
Bangkok,2013,18.58,Kuala Lumpur,1%,,,
Bangkok,2014,18.14,,,,,
Bangkok,2015,20.87,,,,,
Bangkok,2016,20.69,,,,,
Bangkok,2017,22.45,,,,,
Bangkok,2018,23.85,,,,,
Bangkok,2019,24.89,,,,,
Bangkok,2020,4.84,,,,,
Bangkok,2021,0.63,,,,,
Bangkok,2022,8.56,,,,,
Bangkok,2023,25.79,,,,,
Bali,2011,2.83,,,,,
Bali,2012,2.95,,,,,
Bali,2013,3.28,,,,,
Bali,2014,3.77,,,,,
Bali,2015,4,,,,,
Bali,2016,4.93,,,,,   
Bali,2017,5.7,,,,,
Bali,2018,6.07,,,,,
Bali,2019,6.28,,,,,
Bali,2020,1.07,,,,,
Bali,2021,0,,,,,
Bali,2022,2.16,,,,,
Bali,2023,5.27,,,,,
Kuala Lumpur,2011,24.71,,,,,
Kuala Lumpur,2012,25.03,,,,,
Kuala Lumpur,2013,25.72,,,,,
Kuala Lumpur,2014,27.44,,,,,
Kuala Lumpur,2015,25.72,,,,,
Kuala Lumpur,2016,26.76,,,,,
Kuala Lumpur,2017,25.95,,,,,
Kuala Lumpur,2018,25.83,,,,,
Kuala Lumpur,2019,26.1,,,,,
Kuala Lumpur,2020,4.33,,,,,
Kuala Lumpur,2021,0.13,,,,,
Kuala Lumpur,2022,10.07,,,,,
Kuala Lumpur,2023,20.14,,,,,
