Rank,Destination,Country,Sickness Posts,%,Drinkable Tap Water,Advised Vax,Vax to Consider,Total
1,Punta Cana,Dominican Republic,13463,9.61,No,2,4,90.4
2,Sharm El Sheikh,Egypt,6578,10.76,No,2,4,83.5
3,Sal,Cape Verde,390,11.2,No,2,3,70.6
4,Playa del Carmen,Mexico,8402,6.82,No,0,5,63.8
5,Cabo San Lucas,Mexico,4987,8.09,No,0,5,63.3
6,Bali,Indonesia,7567,6.08,No,3,3,62.3
7,Hurghada,Egypt,1885,8.27,No,2,4,60.7
8,Tulum,Mexico,1406,8.82,No,0,5,59.7
9,Boa Vista,Cape Verde,299,8.29,No,2,3,56.2
10,Cancun,Mexico,7586,5.33,No,0,5,52.5
11,Cairo,Egypt,936,6.79,No,2,4,48.8
12,Marrakech,Morocco,1201,6.58,No,2,2,47.4
13,Hanoi,Vietnam,830,6.16,No,2,4,44.6
14,Orlando,USA,8790,4.32,Yes,1,2,42.9
15,Havana,Cuba,623,6.04,No,0,3,38.7
16,Bangkok,Thailand,3072,4.47,No,0,6,37.7
17,Benidorm,Spain,2323,4.5,Yes,0,1,26.4
18,Buenos Aires,Argentina,716,3.67,No,0,5,25.6
19,Rio de Janeiro,Brazil,410,3.23,No,2,4,25.4
20,Marmaris,Turkey,1255,4.02,No,0,4,24.2
21,London,UK,4211,2.74,Yes,1,1,21.7
22,Sunny Beach,Bulgaria,470,2.77,No,1,3,21.5
23,Dubai,UAE,2189,3.03,Yes,1,2,20.7
24,Paris,France,4182,2.75,Yes,0,1,19.4
25,Tenerife,Spain,1700,3.17,Yes,0,2,19.3
